contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type,expiry,mid,moneyness,T,IV
SPXW260429C06770000,2026-04-24 14:46:26+00:00,6770.0,367.26,385.7,408.6,120.83002,49.03219,20.0,22,0.37045917633056635,True,REGULAR,USD,call,2026-04-29,397.15,0.9448603401752368,0.00821917808219178,0.21598132315524665
SPXW260429C06780000,2026-04-24 15:00:28+00:00,6780.0,360.57,375.7,398.6,97.97,37.307693,10.0,12,0.3632723585510254,True,REGULAR,USD,call,2026-04-29,387.15,0.9462559979893804,0.00821917808219178,0.21006652279755483
SPXW260429C06820000,2026-04-23 14:55:07+00:00,6820.0,324.15,336.0,358.9,0.0,0.0,27.0,68,0.33637138244628906,True,REGULAR,USD,call,2026-04-29,347.45,0.951838629245955,0.00821917808219178,0.22549767676471602
SPXW260429C06850000,2026-04-23 18:39:40+00:00,6850.0,273.6,316.4,318.4,0.0,0.0,16.0,1096,0.22499859481811518,True,REGULAR,USD,call,2026-04-29,317.4,0.9560256026883859,0.00821917808219178,0.203379301489007
SPXW260429C06860000,2026-04-23 18:39:40+00:00,6860.0,264.2,306.5,308.6,0.0,0.0,26.0,192,0.22159591888427732,True,REGULAR,USD,call,2026-04-29,307.55,0.9574212605025295,0.00821917808219178,0.207535705893446
SPXW260429C06950000,2026-04-24 19:18:58+00:00,6950.0,223.14,219.2,221.2,77.09,52.78329,10.0,344,0.18979692047119145,True,REGULAR,USD,call,2026-04-29,220.2,0.9699821808298221,0.00821917808219178,0.2109231463448689
SPXW260429C06970000,2026-04-24 15:44:55+00:00,6970.0,199.3,192.8,208.8,45.410004,29.508093,34.0,42,0.22278609252929685,True,REGULAR,USD,call,2026-04-29,200.8,0.9727734964581094,0.00821917808219178,0.2028440152114287
SPXW260429C06980000,2026-04-24 19:53:30+00:00,6980.0,190.1,183.5,199.5,45.520004,31.484303,37.0,65,0.21851367431640623,True,REGULAR,USD,call,2026-04-29,191.5,0.974169154272253,0.00821917808219178,0.20270604740471662
SPXW260429C07000000,2026-04-24 19:18:58+00:00,7000.0,176.56,172.6,174.6,45.17,34.378567,35.0,295,0.1766287171936035,True,REGULAR,USD,call,2026-04-29,173.6,0.9769604699005403,0.00821917808219178,0.20561088247412934
SPXW260429C07010000,2026-04-24 20:14:18+00:00,7010.0,161.65,156.2,172.2,33.5,26.141241,29.0,60,0.20685607604980466,True,REGULAR,USD,call,2026-04-29,164.2,0.9783561277146839,0.00821917808219178,0.20144854441623472
SPXW260429C07025000,2026-04-24 16:09:01+00:00,7025.0,146.63,150.1,152.1,34.86001,31.189056,12.0,478,0.1703879348754883,True,REGULAR,USD,call,2026-04-29,151.1,0.9804496144358994,0.00821917808219178,0.2015022159026247
SPXW260429C07035000,2026-04-24 14:44:32+00:00,7035.0,118.22,134.2,150.2,18.090004,18.066519,11.0,69,0.19802132553100588,True,REGULAR,USD,call,2026-04-29,142.2,0.981845272250043,0.00821917808219178,0.19903598121469507
SPXW260429C07045000,2026-04-24 18:42:05+00:00,7045.0,131.25,131.9,135.2,26.150002,24.881067,11.0,67,0.1680533634948731,True,REGULAR,USD,call,2026-04-29,133.55,0.9832409300641867,0.00821917808219178,0.1973108742971798
SPXW260429C07050000,2026-04-24 18:15:38+00:00,7050.0,127.4,128.3,130.2,29.93,30.706886,92.0,542,0.163719910736084,True,REGULAR,USD,call,2026-04-29,129.25,0.9839387589712585,0.00821917808219178,0.19624385513781614
SPXW260429C07055000,2026-04-24 18:42:05+00:00,7055.0,122.45,123.4,126.6,28.32,30.086052,168.0,114,0.16523814506530762,True,REGULAR,USD,call,2026-04-29,125.0,0.9846365878783303,0.00821917808219178,0.19523644286290137
SPXW260429C07060000,2026-04-24 18:15:17+00:00,7060.0,118.97,119.8,121.8,40.08,50.80492,35.0,203,0.16159133094787595,True,REGULAR,USD,call,2026-04-29,120.8,0.9853344167854021,0.00821917808219178,0.19427246861884104
SPXW260429C07065000,2026-04-24 18:24:44+00:00,7065.0,111.68,108.8,124.8,31.970001,40.107895,25.0,40,0.1878285563659668,True,REGULAR,USD,call,2026-04-29,116.8,0.9860322456924739,0.00821917808219178,0.19415169084794098
SPXW260429C07070000,2026-04-24 17:05:49+00:00,7070.0,110.7,110.9,114.1,25.549995,30.005867,28.0,54,0.1615379257202148,True,REGULAR,USD,call,2026-04-29,112.5,0.9867300745995456,0.00821917808219178,0.19215380699837478
SPXW260429C07075000,2026-04-24 19:53:30+00:00,7075.0,108.12,106.3,109.9,31.520004,41.148834,16.0,187,0.1598594757080078,True,REGULAR,USD,call,2026-04-29,108.1,0.9874279035066175,0.00821917808219178,0.1894441018826775
SPXW260429C07080000,2026-04-24 18:47:38+00:00,7080.0,101.15,98.1,108.1,27.650002,37.61905,43.0,98,0.16683267257690432,True,REGULAR,USD,call,2026-04-29,103.1,0.9881257324136893,0.00821917808219178,0.18352586289801262
SPXW260429C07085000,2026-04-24 19:47:42+00:00,7085.0,99.17,94.1,104.1,37.82,61.646294,12.0,45,0.16542124870300295,True,REGULAR,USD,call,2026-04-29,99.1,0.9888235613207611,0.00821917808219178,0.18253026134424669
SPXW260429C07090000,2026-04-24 18:15:17+00:00,7090.0,94.49,94.9,97.8,28.89,44.039635,28.0,169,0.15574727317810058,True,REGULAR,USD,call,2026-04-29,96.35,0.9895213902278329,0.00821917808219178,0.18725140340675517
SPXW260429C07095000,2026-04-24 19:48:28+00:00,7095.0,91.33,86.3,96.3,30.710003,50.659855,24.0,107,0.16279676322937012,True,REGULAR,USD,call,2026-04-29,91.3,0.9902192191349047,0.00821917808219178,0.18068515131343027
SPXW260429C07100000,2026-04-24 19:48:28+00:00,7100.0,90.67,87.0,90.0,30.07,49.62046,371.0,687,0.1530846411132813,True,REGULAR,USD,call,2026-04-29,88.5,0.9909170480419766,0.00821917808219178,0.184369503751974
SPXW260429C07105000,2026-04-24 19:52:40+00:00,7105.0,81.93,84.4,84.9,23.830002,41.015495,66.0,63,0.1474389456176758,True,REGULAR,USD,call,2026-04-29,84.65,0.9916148769490484,0.00821917808219178,0.18288387147467658
SPXW260429C07110000,2026-04-24 19:52:40+00:00,7110.0,78.23,80.6,81.1,24.230003,44.870377,53.0,149,0.14605803901672362,True,REGULAR,USD,call,2026-04-29,80.85,0.9923127058561202,0.00821917808219178,0.18135608081084786
SPXW260429C07115000,2026-04-24 19:40:00+00:00,7115.0,76.15,76.9,77.4,25.850002,51.391655,48.0,127,0.14481064548492434,True,REGULAR,USD,call,2026-04-29,77.15,0.993010534763192,0.00821917808219178,0.1799912092329557
SPXW260429C07120000,2026-04-24 20:00:18+00:00,7120.0,73.3,73.2,73.8,26.470001,56.523598,677.0,851,0.14368150638580324,True,REGULAR,USD,call,2026-04-29,73.5,0.9937083636702638,0.00821917808219178,0.17855969902160257
SPXW260429C07125000,2026-04-24 19:55:40+00:00,7125.0,70.65,69.7,70.2,24.650002,53.58696,272.0,460,0.14234256103515625,True,REGULAR,USD,call,2026-04-29,69.95,0.9944061925773356,0.00821917808219178,0.17726044805636135
